Date,Open,High,Low,Close,Adj Close,Volume
2007-03-02,62.299999,62.450001,61.730000,61.950001,39.116402,13773000
2007-03-05,61.450001,62.349998,61.450001,61.830002,39.040627,16009400
2007-03-06,62.150002,62.220001,61.369999,61.700001,38.958553,19244300
2007-03-07,61.650002,62.529999,61.590000,61.860001,39.059574,14139300
2007-03-08,62.000000,62.250000,61.650002,61.720001,38.971191,14670100
2007-03-09,62.180000,62.310001,61.939999,62.139999,39.236374,10011500
2007-03-12,62.250000,62.349998,61.410000,61.790001,39.015377,13310200
2007-03-13,61.400002,61.730000,60.610001,60.770000,38.371334,17202700
2007-03-14,60.990002,61.150002,60.110001,60.709999,38.333443,16217000
2007-03-15,60.700001,60.810001,60.349998,60.529999,38.219791,10109800
2007-03-16,60.570000,60.880001,60.250000,60.509998,38.207161,15553900
2007-03-19,60.650002,60.799999,60.369999,60.730000,38.346081,10425200
2007-03-20,60.660000,61.340000,60.650002,61.070000,38.560768,9871300
2007-03-21,61.070000,61.320000,60.480000,61.220001,38.655483,16305000
2007-03-22,61.220001,61.480000,60.790001,60.860001,38.428162,12725500
2007-03-23,61.250000,61.250000,60.349998,60.509998,38.207161,17676100
2007-03-26,60.799999,60.799999,59.869999,60.250000,38.042995,17385900
2007-03-27,60.099998,60.209999,59.980000,60.029999,37.904076,12691000
2007-03-28,60.000000,60.400002,59.869999,60.000000,37.885132,16111500
2007-03-29,60.380001,60.480000,60.020000,60.340000,38.099819,16849900
2007-03-30,60.430000,60.450001,59.950001,60.259998,38.049316,13275100
2007-04-02,60.259998,60.400002,60.029999,60.099998,37.948280,9734200
2007-04-03,60.549999,60.869999,60.250000,60.639999,38.289257,12055300
2007-04-04,60.709999,61.349998,60.549999,61.290001,38.699673,12983300
2007-04-05,61.340000,61.900002,61.230000,61.549999,38.863838,9694800
2007-04-09,61.599998,61.750000,61.369999,61.630001,38.914364,5829600
2007-04-10,61.540001,61.869999,61.459999,61.669998,38.939602,9137600
2007-04-11,61.520000,62.290001,61.500000,61.889999,39.078526,14688400
